item_id,item_name,item_price
62,Veggie Bowl,$11.25 
63,Chicken Burrito,$8.75 
64,Steak Burrito,$8.99 
65,Steak Soft Tacos,$8.99 
66,Izze,$3.39 
67,Steak Burrito,$8.99 
68,Chicken Burrito,$10.98 
69,Steak Burrito,$8.99 
70,Side of Chips,$1.69 
71,Steak Burrito,$8.99 
72,Chips and Guacamole,$3.99 
73,Chicken Burrito,
74,Chips and Guacamole,$4.45 
75,Chicken Soft Tacos,$8.75 
76,Chicken Bowl,$8.75 
77,Chips,$2.15 
78,Chicken Bowl,$8.75 
79,Chicken Soft Tacos,$11.25 
80,Chips,$2.15 
81,Barbacoa Burrito,$9.25 
82,Chicken Burrito,$8.75 
83,Chicken Burrito,$8.75 
84,Steak Soft Tacos,$9.25 
85,Veggie Bowl,$8.49 
86,Steak Bowl,$8.99 
87,Bottled Water,$1.09 
88,Carnitas Burrito,$9.25 
89,Chips and Fresh Tomato Salsa,$2.95 
90,Steak Bowl,$11.75 
91,Steak Bowl,$11.75 
92,Steak Crispy Tacos,$9.25 
93,Carnitas Burrito,$11.75 
94,Chips and Guacamole,$4.45 
95,Barbacoa Bowl,$9.25 
96,Chips and Guacamole,$4.45 
97,Carnitas Bowl,$11.75 
98,Chicken Burrito,$8.75 
99,Chicken Bowl,$8.75 
100,Chips and Guacamole,$4.45 
101,Steak Burrito,$8.99 
102,Steak Bowl,$8.99 
103,Chips and Guacamole,$3.99 
104,Veggie Burrito,$8.49 
105,Nantucket Nectar,$3.39 
106,Steak Burrito,$8.99 
107,Canned Soda,$1.09 
108,Steak Burrito,$9.25 
109,Chips and Guacamole,$4.45 
110,Chicken Bowl,$8.75 
111,Chips and Tomatillo Red Chili Salsa,$2.95 
112,Chips and Guacamole,$4.45 
113,Chips and Tomatillo-Green Chili Salsa,$2.39 
114,Chicken Burrito,$8.49 
115,Barbacoa Bowl,$8.99 
116,Chicken Burrito,$8.49 
117,Canned Soda,$1.09 
118,Steak Soft Tacos,$8.99 
119,Chips and Guacamole,$3.99 
120,Chicken Burrito,$8.75 
121,Barbacoa Burrito,$9.25 
122,Chips and Guacamole,$4.45 
123,Chicken Bowl,$11.25 
124,Chips and Guacamole,$4.45 
125,Steak Burrito,$8.99 
126,Canned Soda,$1.09 
127,Barbacoa Bowl,$9.25 
128,Chips and Tomatillo Red Chili Salsa,$2.95 
129,Chips and Guacamole,$4.45 
130,Barbacoa Burrito,$11.75 
131,Chips and Guacamole,$4.45 
132,Chicken Burrito,$8.49 
133,Chips and Tomatillo-Green Chili Salsa,$2.39 
134,Chicken Burrito,$10.98 
135,Chicken Salad Bowl,$22.50 
136,Barbacoa Bowl,$11.75 
137,Chips and Guacamole,$4.45 
138,Chicken Bowl,$11.25 
139,Chips and Guacamole,$4.45 
140,Chicken Bowl,$11.25 
141,Chips and Guacamole,$4.45 
142,Chicken Bowl,$11.25 
143,Veggie Bowl,$11.25 
144,Barbacoa Burrito,$11.75 
145,Carnitas Bowl,$9.25 
146,Chips and Guacamole,$4.45 
147,Steak Burrito,$11.48 
148,Steak Burrito,$17.98 
149,Side of Chips,$1.69 
150,Chicken Burrito,$17.50 
151,Chips and Guacamole,$4.45 
152,Chicken Burrito,$8.49 
153,Chips and Tomatillo-Green Chili Salsa,$2.39 
154,Chicken Bowl,$17.50 
155,Chips and Guacamole,$4.45 
156,Chips and Guacamole,$4.45 
157,Veggie Bowl,$11.25 
158,Steak Burrito,$11.75 
159,Chicken Burrito,$10.98 
160,Chicken Bowl,$8.49 
161,Chicken Burrito,$10.98 
162,Canned Soda,$2.18 
163,Carnitas Bowl,$11.48 
164,Veggie Bowl,$8.49 
165,Chips and Tomatillo-Green Chili Salsa,$2.39 
166,Chips and Guacamole,$4.45 
167,Chicken Burrito,$11.25 
168,Barbacoa Crispy Tacos,$11.75 
169,Chicken Burrito,$8.75 
170,Chicken Burrito,$8.49 
171,Canned Soda,$2.18 
172,Chicken Burrito,$8.49 
173,Nantucket Nectar,$3.39 
174,Chicken Burrito,$8.49 
175,Steak Soft Tacos,$8.99 
176,Chicken Bowl,$10.98 
177,Steak Burrito,$11.48 
178,Chicken Burrito,$8.49 
179,Canned Soda,$1.09 
180,Canned Soda,$1.09 
181,Barbacoa Soft Tacos,$9.25 
182,Chicken Bowl,$8.75 
183,Chips and Fresh Tomato Salsa,$2.95 
184,Steak Soft Tacos,$9.25 
185,Chips and Guacamole,$4.45 
186,Veggie Salad Bowl,$11.25 
187,Steak Bowl,$11.48 
188,Chicken Burrito,$8.49 
189,Chicken Burrito,$8.49 
190,Steak Burrito,$8.99 
191,Chips and Roasted Chili-Corn Salsa,$2.39 
192,Veggie Bowl,$11.25 
193,Chicken Bowl,$8.75 
194,Chips and Fresh Tomato Salsa,$2.95 
195,Canned Soda,$1.09 
196,Steak Burrito,$8.99 
197,Chicken Burrito,$8.49 
198,Chips and Tomatillo-Green Chili Salsa,$2.39 
199,Chicken Bowl,$10.98 
200,Canned Soda,$1.09 
201,Chips and Guacamole,$3.99 
202,Chicken Burrito,$11.25 
203,Chicken Burrito,$8.75 
204,Chicken Burrito,$8.49 
205,Nantucket Nectar,$3.39 
206,Chicken Bowl,$8.75 
207,Steak Bowl,$9.25 
208,Chips,$2.15 
209,Chicken Bowl,$11.25 
210,Veggie Bowl,
211,Chicken Bowl,$11.25 
212,Chips and Guacamole,$4.45 
213,Chicken Salad Bowl,$22.50 
214,Chips and Guacamole,$4.45 
215,Steak Bowl,$11.75 
216,Chicken Burrito,$8.75 
217,Chicken Crispy Tacos,$17.50 
218,Chicken Bowl,$8.75 
219,Barbacoa Bowl,$9.25 
220,Chicken Bowl,$8.75 
221,Chips,$2.15 
222,Barbacoa Burrito,$9.25 
223,Chips,$4.30 
224,Chicken Bowl,$8.75 
225,Veggie Burrito,$11.25 
226,Chips,$2.15 
227,Steak Burrito,$8.99 
228,Canned Soda,$1.09 
229,Steak Burrito,$8.99 
230,Chips and Guacamole,$3.99 
231,Chicken Bowl,$8.75 
232,Chips and Tomatillo Green Chili Salsa,$2.95 
233,Chips and Roasted Chili Corn Salsa,$2.95 
234,Steak Burrito,$11.75 
235,Chips and Tomatillo Green Chili Salsa,$5.90 
236,Steak Burrito,$9.25 
237,Carnitas Soft Tacos,$9.25 
238,Steak Burrito,$11.75 
239,Carnitas Burrito,$9.25 
240,Chips and Fresh Tomato Salsa,$2.95 
241,Chicken Burrito,$17.50 
242,Chicken Burrito,$8.75 
243,Steak Bowl,$9.25 
244,Chicken Burrito,$10.98 
245,Steak Burrito,$8.99 
246,Canned Soda,$1.09 
247,Canned Soda,$1.09 
248,Canned Soda,$1.09 
249,Barbacoa Burrito,$8.99 
250,Chicken Salad,$10.98 
251,Canned Soda,$1.09 
252,Chicken Bowl,$8.75 
253,Veggie Bowl,$8.75 
254,Barbacoa Bowl,$9.25 
255,Barbacoa Crispy Tacos,$9.25 
256,Chicken Salad Bowl,$8.75 
257,Chicken Bowl,$8.75 
258,Steak Burrito,$8.99 
259,Steak Bowl,$8.99 
260,Steak Bowl,$8.99 
261,Canned Soda,$1.09 
262,Steak Bowl,$11.75 
263,Canned Soft Drink,$1.25 
264,Steak Burrito,$8.99 
265,Chips and Fresh Tomato Salsa,$2.39 
266,Steak Soft Tacos,$9.25 
267,Chips and Fresh Tomato Salsa,$2.95 
268,Barbacoa Soft Tacos,$8.99 
269,Chips and Guacamole,$3.99 
270,Chicken Burrito,$8.49 
271,Chips and Tomatillo-Green Chili Salsa,$2.39 
272,Chicken Burrito,$8.49 
273,Chicken Burrito,$8.49 
274,Chicken Burrito,$8.49 
275,Side of Chips,$1.69 
276,Chicken Burrito,$8.49 
277,Chips and Guacamole,$3.99 
278,Steak Soft Tacos,$8.99 
279,Side of Chips,$1.69 
280,Canned Soda,$1.09 
281,Steak Salad Bowl,
282,Chicken Bowl,$17.50 
283,Chips,$2.15 
284,Chicken Bowl,$8.75 
285,Steak Bowl,$9.25 
286,Steak Bowl,$9.25 
287,Veggie Bowl,$8.75 
288,Chips and Guacamole,$4.45 
289,Chicken Burrito,$8.75 
290,Chicken Bowl,$11.25 
291,Chicken Bowl,$11.25 
292,Canned Soft Drink,$1.25 
293,Steak Soft Tacos,$9.25 
294,Chips and Guacamole,$4.45 
295,Veggie Salad Bowl,$11.25 
296,Steak Burrito,$11.75 
297,Steak Burrito,$11.75 
298,6 Pack Soft Drink,$6.49 
299,Steak Soft Tacos,$8.99 
300,Chips and Tomatillo-Red Chili Salsa,$2.39 
301,Chicken Bowl,$8.49 
302,Chips and Fresh Tomato Salsa,$2.39 
303,Chicken Bowl,$11.25 
304,Chicken Bowl,$8.75 
305,Chips,$2.15 
306,Steak Bowl,$8.99 
307,Side of Chips,$1.69 
308,Chicken Burrito,$8.75 
309,Chicken Burrito,$11.25 
310,Chips,$2.15 
311,Chips and Guacamole,$4.45 
312,Chicken Bowl,$8.75 
313,Chicken Soft Tacos,$8.49 
314,Steak Burrito,$8.99 
315,Chicken Salad Bowl,
316,Chicken Burrito,$8.49 
317,Canned Soda,$1.09 
318,Bottled Water,$1.09 
319,Chicken Bowl,$8.75 
320,Canned Soft Drink,$1.25 
321,Chips,$2.15 
322,Steak Burrito,$11.08 
323,Chicken Burrito,$8.49 
324,Chicken Soft Tacos,$8.49 
325,Steak Burrito,$8.99 
326,Chips and Fresh Tomato Salsa,$2.39 
327,Chicken Bowl,$8.75 
328,Chips,$2.15 
329,Bottled Water,$1.50 
330,Chicken Burrito,$11.25 
331,Chips,$2.15 
332,Chicken Soft Tacos,$8.49 
333,Chicken Soft Tacos,$8.49 
334,Barbacoa Burrito,$11.75 
335,Steak Burrito,$9.25 
336,Steak Bowl,$11.75 
337,Canned Soft Drink,$1.25 
338,Chicken Burrito,$11.25 
339,Chicken Burrito,$8.75 
340,Chips and Guacamole,$4.45 
341,6 Pack Soft Drink,$6.49 
342,Steak Soft Tacos,$9.25 
343,Chips and Fresh Tomato Salsa,$2.95 
344,Chicken Soft Tacos,$11.25 
345,Chips and Guacamole,$4.45 
346,Canned Soft Drink,$1.25 
347,Canned Soft Drink,$1.25 
348,Chicken Bowl,$8.49 
349,Chips and Tomatillo-Red Chili Salsa,$2.39 
350,Canned Soda,$2.18 
351,Chicken Burrito,$8.49 
352,Canned Soda,$2.18 
353,Steak Burrito,$22.16 
354,Chicken Soft Tacos,$17.50 
355,Chicken Burrito,$8.75 
356,Chips and Tomatillo Red Chili Salsa,$2.95 
357,6 Pack Soft Drink,$6.49 
358,Steak Burrito,$8.99 
359,Izze,$3.39 
360,Izze,$3.39 
361,Steak Burrito,$8.99 
362,Chicken Burrito,$8.49 
363,Chicken Burrito,$11.25 
364,Chips,$2.15 
365,Chicken Crispy Tacos,$11.25 
366,Chips and Tomatillo Green Chili Salsa,$2.95 
367,Chicken Burrito,$11.25 
368,Canned Soft Drink,$1.25 
369,Steak Burrito,$8.99 
370,Canned Soda,$1.09 
371,Chicken Bowl,$8.75 
372,Chicken Burrito,$8.75 
373,Carnitas Burrito,$9.25 
374,Chips and Fresh Tomato Salsa,$2.95 
375,Barbacoa Burrito,$11.75 
376,Bottled Water,$1.50 
377,Steak Burrito,$8.99 
378,Canned Soda,$1.09 
379,Chicken Bowl,$11.25 
380,Canned Soft Drink,$1.25 
381,Canned Soft Drink,$1.25 
382,Chicken Burrito,$11.25 
383,Steak Burrito,$11.75 
384,Chips,$2.15 
385,Barbacoa Burrito,$8.99 
386,Side of Chips,$1.69 
387,Steak Bowl,$11.75 
388,6 Pack Soft Drink,$6.49 
389,Chicken Burrito,$8.75 
390,Steak Soft Tacos,$9.25 
391,Chicken Burrito,$11.25 
392,Chips and Guacamole,$4.45 
393,Canned Soft Drink,$1.25 
394,Veggie Burrito,$11.25 
395,Chips and Guacamole,$4.45 
396,Chicken Burrito,$8.49 
397,Barbacoa Burrito,
398,Chicken Burrito,$8.49 
399,Carnitas Bowl,$8.99 
400,Chicken Burrito,$11.25 
401,Canned Soft Drink,$1.25 
402,Steak Burrito,$11.75 
403,Canned Soft Drink,$1.25 
404,Steak Burrito,$11.75 
405,Carnitas Soft Tacos,$9.25 
406,Chips and Guacamole,$4.45 
407,Chicken Bowl,$11.25 
408,Chips,$2.15 
409,Chicken Bowl,$32.94 
410,Canned Soft Drink,$1.25 
411,Chicken Bowl,$11.25 
412,Steak Bowl,$11.48 
413,Side of Chips,$1.69 
414,Canned Soda,$1.09 
415,Chicken Bowl,$17.50 
416,Chips and Guacamole,$4.45 
417,6 Pack Soft Drink,$6.49 
418,Barbacoa Bowl,$9.25 
419,Chicken Soft Tacos,$8.75 
420,Steak Burrito,$9.25 
421,Carnitas Burrito,$9.25 
422,Chicken Bowl,$8.75 
423,Chicken Burrito,$8.75 
424,Chips,$2.15 
425,Chips and Fresh Tomato Salsa,$2.95 
426,Chicken Soft Tacos,$17.50 
427,Chicken Soft Tacos,
428,Steak Bowl,$11.48 
429,Barbacoa Crispy Tacos,$11.48 
430,Izze,$3.39 
431,Steak Burrito,$8.99 
432,Side of Chips,$1.69 
433,Carnitas Bowl,$8.99 
434,Canned Soda,$1.09 
435,Veggie Burrito,$10.98 
436,Nantucket Nectar,$3.39 
437,Steak Crispy Tacos,$8.99 
438,Canned Soda,$1.09 
439,Steak Burrito,$9.25 
440,Chicken Soft Tacos,$8.75 
441,Chicken Burrito,$11.25 
442,Chips and Guacamole,$4.45 
443,Chips and Tomatillo Red Chili Salsa,$2.95 
444,Steak Bowl,$9.25 
445,Bowl,$22.20 
446,Chicken Burrito,$8.49 
447,Steak Burrito,$8.99 
448,Chicken Burrito,$8.75 
449,Chicken Bowl,$8.75 
450,Barbacoa Burrito,$11.75 
451,Chicken Burrito,$8.75 
452,Chicken Burrito,$11.25 
453,Carnitas Soft Tacos,$9.25 
454,Chicken Bowl,
455,Veggie Salad Bowl,$11.25 
456,Chicken Bowl,$8.75 
457,Chicken Burrito,$11.25 
458,Chips and Fresh Tomato Salsa,$2.95 
459,Canned Soft Drink,$1.25 
460,Chicken Bowl,$8.49 
461,Side of Chips,$1.69 
462,Carnitas Burrito,$11.75 
463,Chicken Burrito,$11.25 
464,Chicken Bowl,$8.75 
465,Chicken Bowl,$8.75 
466,Chips and Guacamole,$4.45 
467,Veggie Burrito,$8.49 
468,Chips and Guacamole,$3.99 
469,Veggie Burrito,$8.49 
470,Chips and Guacamole,$3.99 
471,Barbacoa Bowl,$11.48 
472,Side of Chips,$1.69 
473,Canned Soda,$1.09 
474,Chicken Soft Tacos,$11.25 
475,Bottled Water,$1.50 
476,Chicken Burrito,$10.58 
477,Side of Chips,$1.69 
478,Carnitas Burrito,$9.25 
479,Veggie Burrito,$11.25 
480,Chicken Bowl,$8.75 
481,Steak Burrito,$9.25 
482,Chicken Burrito,$11.25 
483,Chicken Bowl,$11.25 
484,Chicken Bowl,$8.75 
485,Barbacoa Crispy Tacos,$11.75 
486,Chicken Burrito,$8.75 
487,Chicken Burrito,$8.75 
488,Chicken Bowl,$8.75 
489,Chips,$2.15 
490,Chicken Bowl,$11.25 
491,Steak Bowl,$11.75 
492,Canned Soft Drink,$2.50 
493,Chips and Guacamole,$4.45 
494,Steak Soft Tacos,$9.25 
495,Chips and Guacamole,$4.45 
496,Veggie Salad Bowl,$11.25 
497,Veggie Burrito,$8.49 
498,Chips and Guacamole,$3.99 
499,Steak Bowl,$9.25 
500,Steak Bowl,$9.25 
501,Chicken Bowl,$11.25 
502,Barbacoa Burrito,$9.25 
503,Steak Burrito,$11.75 
504,Chicken Soft Tacos,$11.25 
505,Canned Soft Drink,$1.25 
506,Carnitas Bowl,$23.50 
507,Canned Soft Drink,$1.25 
508,Steak Burrito,$8.99 
509,Chicken Bowl,$8.49 
510,Burrito,$7.40 
511,Burrito,$7.40 
512,Veggie Bowl,$8.75 
513,Canned Soft Drink,$1.25 
514,Chips and Guacamole,$4.45 
515,Veggie Bowl,$8.75 
516,Chips,$2.15 
517,Chicken Burrito,$8.75 
518,Chips and Guacamole,$4.45 
519,Burrito,$7.40 
520,Crispy Tacos,$7.40 
521,Crispy Tacos,$7.40 
522,Steak Burrito,$8.99 
523,Chips and Guacamole,$3.99 
524,Steak Bowl,$8.99 
525,Side of Chips,$1.69 
526,Chicken Salad Bowl,$8.75 
527,Chicken Bowl,$8.75 
528,Chicken Salad Bowl,$8.75 
529,Chicken Salad Bowl,$8.75 
530,Veggie Bowl,$11.25 
531,Chicken Burrito,$11.25 
532,Chips and Fresh Tomato Salsa,$2.95 
533,Chicken Burrito,$8.75 
534,Steak Burrito,$18.50 
535,Veggie Burrito,$8.49 
536,Chips and Guacamole,$3.99 
537,Chips and Tomatillo Green Chili Salsa,$2.95 
538,Carnitas Bowl,$9.25 
539,Steak Burrito,$9.25 
540,Bottled Water,$3.00 
541,Canned Soft Drink,$1.25 
542,Chicken Bowl,$8.75 
543,Barbacoa Burrito,$9.25 
544,Chips and Guacamole,$4.45 
545,Chicken Bowl,$8.75 
546,Chicken Bowl,$11.25 
547,Chips and Guacamole,$4.45 
548,Chicken Bowl,$10.98 
549,Steak Burrito,$22.16 
550,Chips and Guacamole,$4.45 
551,Chicken Burrito,$8.75 
552,Steak Burrito,$9.25 
553,6 Pack Soft Drink,$6.49 
554,Carnitas Crispy Tacos,$9.25 
555,Veggie Bowl,$11.25 
556,Chicken Bowl,$8.75 
557,Barbacoa Burrito,$9.25 
558,Chips,$2.15 
559,Steak Bowl,$9.25 
560,Chips and Guacamole,$4.45 
561,Barbacoa Burrito,$9.25 
562,Chips and Roasted Chili Corn Salsa,$2.95 
563,Steak Burrito,$9.25 
564,Chicken Burrito,$8.75 
565,Carnitas Soft Tacos,$9.25 
566,Canned Soft Drink,$1.25 
567,Canned Soft Drink,$1.25 
568,Chicken Salad Bowl,$8.75 
569,Chicken Burrito,$8.75 
570,Steak Soft Tacos,$9.25 
571,Chips and Guacamole,$4.45 
572,Steak Burrito,$11.75 
573,Steak Burrito,
574,Barbacoa Burrito,$11.75 
575,Barbacoa Burrito,$9.25 
576,Steak Burrito,$9.25 
577,Chicken Soft Tacos,$16.98 
578,Chips and Tomatillo-Green Chili Salsa,$2.39 
579,Izze,$3.39 
580,Izze,$3.39 
581,Steak Crispy Tacos,$9.25 
582,Steak Burrito,$11.75 
583,Chicken Bowl,$11.25 
584,Chips,$2.15 
585,Chicken Salad Bowl,$8.75 
586,Barbacoa Burrito,$9.25 
587,Chips and Guacamole,$4.45 
588,Chicken Burrito,$10.98 
589,Chicken Burrito,$11.25 
590,Carnitas Soft Tacos,$9.25 
591,Chicken Salad Bowl,$22.50 
592,Barbacoa Bowl,$9.25 
593,Chips and Tomatillo Red Chili Salsa,$2.95 
594,Bottled Water,$1.50 
595,Steak Bowl,$11.48 
596,Chicken Bowl,$8.49 
597,Side of Chips,$1.69 
598,Chicken Crispy Tacos,$8.49 
599,Chicken Burrito,$8.49 
600,Chicken Crispy Tacos,$8.49 
601,Nantucket Nectar,$6.78 
602,Barbacoa Burrito,$11.75 
603,Chips and Guacamole,$4.45 
604,Chicken Bowl,$8.75 
605,Chips and Guacamole,$4.45 
606,Steak Salad Bowl,$11.89 
607,Steak Salad Bowl,$9.39 
608,Chicken Burrito,$8.75 
609,Chips and Fresh Tomato Salsa,$2.95 
610,Canned Soft Drink,$1.25 
611,Barbacoa Soft Tacos,$9.25 
612,Chicken Burrito,$8.75 
613,Steak Salad Bowl,$23.78 
614,Chicken Bowl,$8.75 
615,Barbacoa Burrito,$9.25 
616,Chips,$2.15 
617,Chips,$2.15 
618,Canned Soft Drink,$1.25 
619,Veggie Bowl,$8.49 
620,Chips and Guacamole,$3.99 
621,Chicken Burrito,$10.98 
622,Canned Soda,$1.09 
623,Veggie Burrito,$8.75 
624,Chips and Guacamole,$4.45 
625,Chicken Bowl,$8.75 
626,Carnitas Burrito,$11.75 
627,Chips and Tomatillo Green Chili Salsa,$2.95 
628,Chips and Guacamole,$4.45 
629,Steak Burrito,$9.25 
630,Chicken Soft Tacos,$8.75 
631,Veggie Burrito,$8.49 
632,Chips and Guacamole,$3.99 
633,Chicken Salad Bowl,$22.50 
634,Chicken Burrito,$11.25 
635,Canned Soft Drink,$1.25 
636,Chicken Burrito,$8.75 
637,Chicken Bowl,$8.75 
638,Steak Burrito,$18.50 
639,6 Pack Soft Drink,$6.49 
640,Chicken Burrito,$8.75 
641,Chicken Soft Tacos,$8.75 
642,Chips and Guacamole,$4.45 
643,Veggie Bowl,$8.49 
644,Chips and Guacamole,$3.99 
645,Steak Burrito,$8.99 
646,Canned Soda,$1.09 
647,Chicken Bowl,$8.49 
648,Chips and Roasted Chili-Corn Salsa,$2.39 
649,Steak Burrito,$11.48 
650,Side of Chips,$1.69 
651,Canned Soft Drink,$2.50 
652,Carnitas Burrito,$9.25 
653,Bottled Water,$1.50 
654,Chicken Bowl,$17.50 
655,Chips and Tomatillo Green Chili Salsa,$2.95 
656,Chicken Burrito,$8.75 
657,Chips and Guacamole,$4.45 
658,Steak Burrito,$11.75 
659,Chicken Burrito,$8.75 
660,Chicken Bowl,$8.49 
661,Side of Chips,$1.69 
662,Veggie Burrito,$8.49 
663,Chips and Guacamole,$3.99 
664,Steak Salad,$8.99 
665,Steak Bowl,$8.99 
666,Chips and Guacamole,$3.99 
667,Carnitas Soft Tacos,$8.99 
668,Chicken Bowl,$11.25 
669,Chips and Guacamole,$4.45 
670,Canned Soft Drink,$1.25 
671,Chips and Guacamole,$3.99 
672,Chicken Burrito,$10.98 
673,Bowl,$7.40 
674,Chips and Mild Fresh Tomato Salsa,$3.00 
675,Burrito,$7.40 
676,Chips and Guacamole,$4.00 
677,Veggie Bowl,$8.49 
678,Chips and Guacamole,$3.99 
679,Steak Bowl,$9.25 
680,Chips and Guacamole,$4.45 
681,Chicken Burrito,$11.25 
682,Canned Soft Drink,$1.25 
683,Steak Burrito,$11.75 
684,Canned Soft Drink,$1.25 
685,Chicken Burrito,$11.25 
686,Chips,$2.15 
687,Chicken Bowl,$11.25 
688,Chips and Guacamole,$4.45 
689,Canned Soft Drink,$3.75 
690,Steak Bowl,$11.75 
691,Carnitas Burrito,$8.99 
692,Chips and Tomatillo-Red Chili Salsa,$2.39 
693,Chicken Salad Bowl,$8.75 
694,Chips and Guacamole,$4.45 
695,Canned Soft Drink,$1.25 
696,Steak Burrito,$8.99 
697,Chicken Soft Tacos,$8.49 
698,Canned Soda,$2.18 
699,Chicken Burrito,$8.49 
700,Canned Soda,$2.18 
701,Bottled Water,$1.09 
702,Chicken Salad Bowl,$8.75 
703,Chips and Tomatillo Green Chili Salsa,$2.95 
704,Canned Soft Drink,$1.25 
705,Bottled Water,$1.50 
706,Chicken Bowl,$11.25 
707,Steak Burrito,$9.25 
708,Chips and Roasted Chili Corn Salsa,$2.95 
709,Canned Soft Drink,$1.25 
710,Veggie Burrito,$8.49 
711,Chips and Guacamole,$3.99 
712,Steak Burrito,$11.48 
713,Chips and Guacamole,$3.99 
714,Veggie Burrito,$8.49 
715,Chicken Burrito,$11.25 
716,Canned Soft Drink,$1.25 
717,Barbacoa Burrito,$8.99 
718,Side of Chips,$1.69 
719,Chicken Bowl,$11.25 
720,Canned Soft Drink,$1.25 
721,6 Pack Soft Drink,$6.49 
722,Chicken Bowl,$8.75 
723,Barbacoa Burrito,$9.25 
724,Chicken Burrito,$8.75 
725,Chips and Fresh Tomato Salsa,$2.95 
726,Chicken Burrito,$8.75 
727,Steak Burrito,$11.75 
728,Steak Burrito,$8.69 
729,Steak Crispy Tacos,$8.69 
730,Chips and Fresh Tomato Salsa,$2.29 
731,Chips and Guacamole,$3.99 
732,Veggie Burrito,$8.49 
733,Chicken Bowl,$8.75 
734,Chicken Burrito,$8.75 
735,Canned Soft Drink,$1.25 
736,Steak Burrito,$11.75 
737,Veggie Bowl,$11.25 
738,Veggie Soft Tacos,$11.25 
739,Chicken Burrito,$11.25 
740,Canned Soft Drink,$1.25 
741,Steak Burrito,$9.25 
742,Barbacoa Burrito,$11.75 
743,6 Pack Soft Drink,$6.49 
744,Chips and Guacamole,$3.99 
745,Veggie Burrito,$8.49 
746,Chicken Burrito,$11.25 
747,Chips,$2.15 
748,Chicken Burrito,$11.25 
749,Steak Salad Bowl,$11.89 
750,Barbacoa Bowl,$8.99 
751,Side of Chips,$1.69 
752,Steak Salad,$8.99 
753,Steak Bowl,$8.99 
754,Chips and Guacamole,$3.99 
755,Carnitas Soft Tacos,$8.99 
756,Barbacoa Burrito,$9.25 
757,Steak Bowl,$9.25 
758,Chips,$2.15 
759,Burrito,$7.40 
760,Burrito,$7.40 
761,Veggie Burrito,$8.75 
762,Chicken Salad Bowl,$8.75 
763,Barbacoa Crispy Tacos,$9.25 
764,Chips and Guacamole,$4.45 
765,Chicken Bowl,$11.25 
766,Canned Soft Drink,$1.25 
767,Carnitas Burrito,$11.75 
768,Chicken Crispy Tacos,$11.25 
769,Canned Soft Drink,$1.25 
770,Chips and Guacamole,$3.99 
771,Veggie Burrito,$8.49 
772,Chicken Bowl,$8.49 
773,Chicken Bowl,$8.49 
774,Steak Crispy Tacos,$8.99 
775,Chicken Bowl,$8.75 
776,Chips,$2.15 
777,Canned Soft Drink,$1.25 
778,Chicken Burrito,$8.49 
779,Canned Soda,$1.09 
780,Bottled Water,$1.09 
781,Veggie Soft Tacos,$8.75 
782,Chips and Tomatillo Green Chili Salsa,$2.95 
783,Canned Soft Drink,$1.25 
784,Steak Bowl,$9.25 
785,Canned Soft Drink,$1.25 
786,Chips,$2.15 
787,Chicken Burrito,$11.25 
788,Canned Soft Drink,$1.25 
